Launch Config	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
[3000, 128]	20	0.4532	82.8747	13.9420
[6000, 128]	10	0.4514	83.2753	14.0727
[15000, 128]	4	0.4503	83.4233	14.2827
[30000, 128]	2	0.4497	83.5727	14.6113
[60000, 128]	1	0.4684	80.1880	14.0120
[3000, 256]	20	0.4551	82.8227	13.9813
[6000, 256]	10	0.4516	83.3760	14.1973
[15000, 256]	4	0.4503	83.5413	15.3233
[30000, 256]	2	0.4505	83.5273	17.9520
[60000, 256]	1	0.4756	79.0433	17.9493
[3000, 512]	20	0.4528	83.2827	17.6173
[6000, 512]	10	0.4514	83.4473	18.7093
[15000, 512]	4	0.4508	83.4713	21.8720
[30000, 512]	2	0.4510	83.4013	27.1133
[60000, 512]	1	0.5023	74.8047	26.1293
[3000, 1024]	20	0.4639	81.0193	21.8240
[6000, 1024]	10	0.4619	81.2967	23.9547
[15000, 1024]	4	0.4879	76.7827	28.4140
[30000, 1024]	2	0.5808	64.4147	31.9000
[60000, 1024]	1	0.6939	53.9047	29.2987
