Launch Config	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
[3000, 128]	20	3.6103	83.5380	18.4330
[6000, 128]	10	3.6027	83.6253	18.4587
[15000, 128]	4	3.6000	83.7287	18.5047
[30000, 128]	2	3.6047	83.6153	18.5187
[60000, 128]	1	3.5940	83.8447	18.6400
[3000, 256]	20	3.8080	79.3000	17.5120
[6000, 256]	10	3.7487	80.4513	17.7773
[15000, 256]	4	3.6760	82.0207	18.1653
[30000, 256]	2	3.7367	80.5733	17.9173
[60000, 256]	1	3.7113	81.0713	18.1733
[3000, 512]	20	3.6380	82.9793	18.3340
[6000, 512]	10	3.6167	83.2640	18.4260
[15000, 512]	4	3.6007	83.7160	18.6127
[30000, 512]	2	3.6107	83.4713	18.7027
[60000, 512]	1	3.5987	83.6647	19.0393
[3000, 1024]	20	3.6100	83.7047	18.5207
[6000, 1024]	10	3.6000	83.7387	18.5847
[15000, 1024]	4	3.6000	83.7960	18.7713
[30000, 1024]	2	3.6000	83.7987	19.0587
[60000, 1024]	1	3.6000	83.7853	19.6293
