Grid Size	Block Size	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
3000	128	20	37.7955	83.7473	18.4555
6000	128	10	19.8245	83.6527	18.4536
15000	128	4	9.0091	83.6064	18.4845
30000	128	2	5.4027	83.7455	18.5582
60000	128	1	3.5955	83.8191	18.6345
3000	256	20	39.4073	80.2709	17.7100
6000	256	10	20.6091	80.5082	17.7909
15000	256	4	9.3336	80.8809	17.9418
30000	256	2	5.6000	80.5036	17.9427
60000	256	1	3.7264	80.9064	18.1409
3000	512	20	37.9591	83.3973	18.4245
6000	512	10	19.9055	83.3464	18.4664
15000	512	4	9.0582	83.3064	18.5900
30000	512	2	5.4173	83.4836	18.7936
60000	512	1	3.6000	83.7564	19.0591
3000	1024	20	37.7300	83.9100	18.5900
6000	1024	10	19.7700	83.8973	18.6900
15000	1024	4	8.9882	83.8718	18.9427
30000	1024	2	5.3900	83.8355	19.2509
60000	1024	1	3.6000	83.7936	19.6355
