Method	Launch Config	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
non-vectorized	[3000, 128]	20	3.6103	83.5380	18.4330
vectorized	[3000, 128]	20	3.6373	82.8382	13.7118
non-vectorized	[6000, 128]	10	3.6027	83.6253	18.4587
vectorized	[6000, 128]	10	3.6255	83.1264	13.7673
non-vectorized	[15000, 128]	4	3.6000	83.7287	18.5047
vectorized	[15000, 128]	4	3.6000	83.7573	13.8927
non-vectorized	[30000, 128]	2	3.6047	83.6153	18.5187
vectorized	[30000, 128]	2	3.6000	83.7955	13.9336
non-vectorized	[60000, 128]	1	3.5940	83.8447	18.6400
vectorized	[60000, 128]	1	3.5909	83.8236	14.0109
non-vectorized	[3000, 256]	20	3.8080	79.3000	17.5120
vectorized	[3000, 256]	20	3.7327	80.6718	13.3709
non-vectorized	[6000, 256]	10	3.7487	80.4513	17.7773
vectorized	[6000, 256]	10	3.6991	81.4973	13.5200
non-vectorized	[15000, 256]	4	3.6760	82.0207	18.1653
vectorized	[15000, 256]	4	3.6173	83.3682	13.8718
non-vectorized	[30000, 256]	2	3.7367	80.5733	17.9173
vectorized	[30000, 256]	2	3.6209	83.2882	13.9327
non-vectorized	[60000, 256]	1	3.7113	81.0713	18.1733
vectorized	[60000, 256]	1	3.6036	83.6645	14.1382
non-vectorized	[3000, 512]	20	3.6380	82.9793	18.3340
vectorized	[3000, 512]	20	3.6509	82.6082	13.7018
non-vectorized	[6000, 512]	10	3.6167	83.2640	18.4260
vectorized	[6000, 512]	10	3.6200	83.2755	13.8400
non-vectorized	[15000, 512]	4	3.6007	83.7160	18.6127
vectorized	[15000, 512]	4	3.6000	83.7791	14.0073
non-vectorized	[30000, 512]	2	3.6107	83.4713	18.7027
vectorized	[30000, 512]	2	3.5991	83.8045	14.1555
non-vectorized	[60000, 512]	1	3.5987	83.6647	19.0393
vectorized	[60000, 512]	1	3.5909	83.8555	14.4573
non-vectorized	[3000, 1024]	20	3.6100	83.7047	18.5207
vectorized	[3000, 1024]	20	3.6027	83.6636	13.8945
non-vectorized	[6000, 1024]	10	3.6000	83.7387	18.5847
vectorized	[6000, 1024]	10	3.6000	83.7873	13.9718
non-vectorized	[15000, 1024]	4	3.6000	83.7960	18.7713
vectorized	[15000, 1024]	4	3.5991	83.8427	14.1582
non-vectorized	[30000, 1024]	2	3.6000	83.7987	19.0587
vectorized	[30000, 1024]	2	3.5909	83.8345	15.1700
non-vectorized	[60000, 1024]	1	3.6000	83.7853	19.6293
vectorized	[60000, 1024]	1	3.5909	83.8209	17.7645
